id,c1,c2,c3,c4,c5,c6
230,4,2,9,6,0.919211187,22
231,5,1,0,9,0.247257681,86
232,1,7,4,7,0.154161062,66
233,2,2,6,3,0.073848366,66
234,3,4,9,1,0.821034529,69
235,1,9,3,7,0.693915245,71
236,5,1,3,5,0.043821616,23
237,5,10,1,8,0.967859722,64
238,3,2,1,8,0.697731622,88
239,5,4,8,2,0.03741807,88
240,9,5,9,2,0.561343521,54
241,2,6,8,4,0.630422729,76
242,10,4,1,7,0.508709482,22
243,3,10,4,3,0.011570013,83
244,10,2,1,6,0.605201697,7
245,5,5,1,9,0.252110113,32
246,10,7,5,7,0.774929668,41
247,6,7,8,2,0.886121683,16
248,1,1,0,3,0.901665871,44
249,0,3,8,3,0.670642677,1
250,4,4,2,10,0.586510851,75
251,6,8,5,10,0.904438675,46
252,0,2,8,10,0.695263998,0
253,3,5,8,1,0.091818384,73
254,2,3,9,9,0.833719493,20
255,9,9,2,7,0.012339107,97
256,1,3,2,5,0.518002835,19
257,5,2,2,7,0.614764814,18
258,2,6,5,9,0.968173517,49
259,5,7,0,1,0.024554922,94
260,5,2,0,3,0.594695253,79
261,3,3,6,0,0.402970344,15
262,3,1,9,4,0.741292248,38
263,7,1,10,7,0.722222218,38
264,8,6,10,2,0.367432471,22
265,1,4,0,9,0.918278665,5
266,2,9,9,5,0.70459009,29
267,10,2,6,2,0.938479259,50
268,2,7,10,10,0.735401892,85
269,5,2,9,9,0.06104031,58
270,10,8,5,8,0.958405792,18
271,5,1,0,8,0.702229589,72
272,6,8,1,5,0.814664701,99
273,4,9,8,4,0.363786224,25
274,5,0,7,1,0.935227027,12
275,9,5,8,3,0.794603875,76
276,0,10,8,9,0.525581752,64
277,5,5,7,9,0.959465092,88
278,6,7,1,5,0.071792468,34
279,10,4,2,0,0.98650986,32
280,9,6,7,8,0.823552487,68
281,9,2,4,3,0.475924224,38
282,5,6,2,4,0.622218419,24
283,8,0,9,9,0.138449975,3
284,7,10,2,1,0.160675048,29
285,9,4,6,0,0.206648242,74
286,5,4,7,0,0.801272611,6
287,9,1,9,3,0.218832917,87
288,8,6,9,2,0.622034157,2
289,10,5,3,7,0.795142522,4
290,5,6,3,3,0.915516976,39
291,2,0,9,1,0.36384993,68
292,1,1,4,5,0.355195117,81
293,7,10,1,7,0.456794209,88
294,9,10,4,5,0.155902449,8
295,6,7,3,1,0.333258081,50
296,4,5,6,7,0.770430368,57
297,3,10,8,6,0.333057152,42
298,1,4,6,3,0.014386355,36
299,2,10,8,5,0.056712956,40
300,9,10,2,5,0.702203256,100
301,0,1,8,2,0.647503501,42
302,1,3,4,8,0.922603746,77
303,1,5,3,2,0.061302968,26
304,3,8,6,8,0.317632442,70
305,0,0,3,1,0.296895561,20
306,10,4,4,1,0.131986482,71
307,6,2,10,5,0.157246561,53
308,5,1,1,4,0.589257749,14
309,10,0,1,5,0.792931037,30
310,5,6,5,5,0.851012933,56
311,9,5,7,8,0.520004054,38
312,0,9,2,10,0.375651714,47
313,6,2,6,2,0.113374451,91
314,6,2,1,2,0.648900866,3
315,7,6,9,4,0.397428338,44
316,8,8,7,0,0.917011058,62
317,10,2,1,7,0.481183134,4
318,7,8,2,10,0.449556782,55
319,7,4,0,1,0.245226088,96
320,7,4,2,4,0.993085713,43
321,6,4,9,6,0.042971718,81
322,10,9,7,5,0.317646669,37
323,5,10,6,10,0.136501139,97
324,9,5,0,2,0.203427564,61
325,2,8,6,10,0.484651945,92
326,5,9,4,8,0.580492467,70
327,10,10,3,0,0.745264947,75
328,0,1,8,0,0.330455154,96
329,7,3,5,4,0.75067114,46
330,7,9,0,5,0.355802923,48
331,6,3,8,0,0.365765504,84
332,8,7,0,1,0.601563996,47
333,10,2,9,1,0.440786867,3
334,3,5,8,8,0.817279854,3
335,9,3,2,10,0.048662608,76
336,3,6,3,4,0.778782586,64
337,9,10,8,9,0.494706,32
338,9,7,1,4,0.313854307,48
339,4,7,1,3,0.951786221,34
340,1,8,4,5,0.150758728,85
341,2,1,1,4,0.195119781,10
342,7,9,4,8,0.310146114,16
343,5,0,8,10,0.986863252,90
344,7,2,1,6,0.561441079,86
345,9,9,5,3,0.562383964,84
346,1,9,9,2,0.448049393,31
347,8,10,6,7,0.105273134,20
348,6,4,5,7,0.675535084,39
349,0,5,4,4,0.64306958,50
350,0,6,6,0,0.371897632,44
351,5,1,10,10,0.104050016,99
352,4,10,3,0,0.811971535,27
353,5,3,8,9,0.961178303,62
354,9,3,9,4,0.7098404,19
355,1,0,1,0,0.358152699,88
356,2,9,7,5,0.361203558,82
357,5,8,10,2,0.266868957,34
358,0,7,2,9,0.768048167,82
359,0,1,9,10,0.543407835,39
360,8,8,8,3,0.116830649,84
361,1,10,0,5,0.039176978,82
362,8,5,6,5,0.188498495,90
363,10,3,0,1,0.517387572,39
364,5,5,0,2,0.645185215,10
365,2,1,7,10,0.798079609,70
366,6,0,2,9,0.119457966,9
367,8,1,5,4,0.442386243,32
368,8,2,5,9,0.329291431,63
369,6,4,8,7,0.649503473,39
370,5,0,8,1,0.785011677,35
371,1,7,6,4,0.658098769,51
372,2,9,10,1,0.89591084,87
373,8,10,0,3,0.739300808,56
374,4,1,2,4,0.278707225,55
375,2,1,3,6,0.432248622,30
376,6,5,8,3,0.601594521,10
377,9,3,7,0,0.307910748,33
378,3,8,5,4,0.927649996,85
379,7,10,8,2,0.650109111,95
380,7,9,2,4,0.34329044,3
381,0,4,5,7,0.544580859,77
382,10,7,2,3,0.735912281,1
383,8,0,2,1,0.77627693,65
384,2,6,9,3,0.731685986,92
385,2,6,5,7,0.83780071,79
386,6,1,1,4,0.844578181,32
387,8,4,8,6,0.91305207,75
388,9,10,8,4,0.329015038,89
389,10,5,9,6,0.806596643,14
390,5,1,1,5,0.833953234,55
391,10,10,8,9,0.425065755,6
392,2,5,2,6,0.605866366,59
393,6,0,8,7,0.932542487,56
394,0,8,9,5,0.550042773,36
395,9,8,4,8,0.309975659,74
396,6,10,7,9,0.815279902,86
397,9,2,3,3,0.532144737,45
398,0,1,1,2,0.734331437,81
399,6,3,7,0,0.103964052,24
400,6,8,5,8,0.677118539,69
