id,c1,c2,c3,c4,c5,c6
196,1,7,5,2,0.22402396,74
197,6,6,9,8,0.539679678,85
198,0,2,3,8,0.610992221,87
199,7,2,4,7,0.643250242,21
200,5,3,7,8,0.292819919,50
201,5,9,5,9,0.631807772,43
202,9,2,0,9,0.861961901,90
203,2,7,9,6,0.343210322,44
204,10,5,1,9,0.852829102,69
205,4,7,8,6,0.484617697,36
206,10,9,2,9,0.027587029,55
207,8,6,0,10,0.61868868,47
208,10,9,2,8,0.191004951,81
209,5,8,5,1,0.826035919,78
210,4,9,10,6,0.856023532,81
211,6,0,4,4,0.194075931,94
212,6,5,9,2,0.229373558,73
213,4,7,7,0,0.18026994,48
214,4,4,1,2,0.063113728,94
215,8,2,5,2,0.254351894,7
216,3,7,5,8,0.516130032,13
217,2,7,2,10,0.903954632,6
218,0,9,7,6,0.332710168,66
219,0,2,8,8,0.708721174,2
220,8,7,9,3,0.78230458,96
221,4,1,4,8,0.522687831,55
222,8,8,4,8,0.369640662,49
223,1,2,6,6,0.641069547,29
224,6,4,5,4,0.182345229,66
225,8,8,1,8,0.728885243,9
226,0,8,9,5,0.599071162,62
227,4,8,4,2,0.096281737,25
228,8,6,10,7,0.721851653,1
229,5,6,2,10,0.887411443,38
230,1,3,1,3,0.106128173,91
231,3,4,1,7,0.140729913,37
232,8,9,5,7,0.501391632,90
233,8,1,3,6,0.708482164,55
234,5,10,4,1,0.193868788,55
235,6,7,7,0,0.436015234,88
236,10,4,10,8,0.46369574,34
237,0,7,6,10,0.292634392,34
238,1,10,7,8,0.905921438,37
239,6,5,0,1,0.43179966,12
240,8,5,8,9,0.997918074,50
241,6,2,7,1,0.968097673,0
242,1,2,7,8,0.764371223,42
243,2,0,10,3,0.767987206,47
244,2,0,3,9,0.404154722,2
245,9,10,8,3,0.538134062,90
246,7,10,6,6,0.643444166,98
247,4,7,10,10,0.407771352,82
248,3,7,3,9,0.763618636,73
249,7,1,10,2,0.571644253,22
250,3,1,9,3,0.946681562,80
251,7,9,6,5,0.571349476,95
252,5,10,3,0,0.523590303,78
253,7,9,9,6,0.294068746,44
254,3,2,4,10,0.41022088,27
255,6,7,3,7,0.389202901,27
256,4,7,0,9,0.064221795,78
257,5,7,1,3,0.310267798,75
258,2,5,7,3,0.498636847,5
259,6,3,1,0,0.02665385,95
260,7,0,8,4,0.798155497,21
261,6,7,10,5,0.057867809,81
262,8,7,2,6,0.059207146,92
263,4,1,2,0,0.241532008,55
264,1,8,6,0,0.5030127,23
265,6,0,5,4,0.853999036,73
266,4,10,0,3,0.537791997,92
267,0,5,6,7,0.165327005,19
268,10,9,7,8,0.837396511,90
269,10,1,5,1,0.284544774,9
270,8,2,5,2,0.685909492,82
271,5,1,6,8,0.822079943,36
272,2,7,0,10,0.108246248,23
273,6,5,3,7,0.956804331,84
274,4,6,9,5,0.085952419,74
275,5,6,4,0,0.382165616,66
276,8,4,3,7,0.29107241,4
277,7,7,8,10,0.090611042,44
278,7,3,3,9,0.66162013,98
279,8,5,2,0,0.440006896,45
280,4,1,3,8,0.087624569,11
281,3,2,3,9,0.078039216,75
282,6,0,10,9,0.419342052,8
283,5,7,3,6,0.665262983,87
284,5,3,6,4,0.819809092,45
285,4,2,6,3,0.262168409,45
286,2,0,5,6,0.535383918,54
287,2,3,5,1,0.850431048,8
288,6,3,7,2,0.409966216,94
289,4,9,7,5,0.5687372,62
290,6,0,7,2,0.579124149,14
291,2,9,9,5,0.462353386,45
292,2,5,8,4,0.021124497,63
293,1,10,2,10,0.30449025,30
294,0,10,0,4,0.74740025,67
295,1,7,7,3,0.265532641,99
296,7,9,3,6,0.635076573,95
297,4,7,7,10,0.550799098,9
298,5,3,0,5,0.541141672,87
299,4,0,7,0,0.984130211,47
300,5,5,9,4,0.093789767,88
301,5,7,10,5,0.986697354,44
302,7,9,3,4,0.773185089,24
303,8,9,2,4,0.833113572,23
304,3,5,1,0,0.141564658,45
305,8,7,1,7,0.975678665,5
306,3,1,2,10,0.349949018,66
307,7,3,8,7,0.31826459,21
308,4,8,6,8,0.102861706,30
309,2,6,4,7,0.955920493,73
310,2,9,5,10,0.014425519,73
311,5,4,10,2,0.52183783,68
312,4,7,8,1,0.26385842,69
313,1,1,6,6,0.412311966,20
314,8,4,4,8,0.403358716,32
315,4,4,9,1,0.48681828,17
316,7,6,7,0,0.869081603,91
317,7,9,1,5,0.19300785,47
318,8,5,5,10,0.864901511,61
319,0,3,5,6,0.056198121,63
320,9,3,5,0,0.252222461,27
321,10,9,10,5,0.202206538,18
322,3,1,4,10,0.825430466,19
323,9,4,3,0,0.639030812,58
324,7,1,5,4,0.454314146,43
325,5,3,10,2,0.13566917,14
326,7,6,1,2,0.402575793,34
327,7,4,2,2,0.070822455,35
328,7,5,3,9,0.420395252,50
329,1,10,5,3,0.521438658,21
330,4,4,4,5,0.264253859,8
331,0,3,0,4,0.411251898,51
332,8,9,2,0,0.831390512,68
333,3,10,9,7,0.82058928,49
334,9,6,1,3,0.116182276,34
335,0,1,5,7,0.115547165,3
336,1,4,5,7,0.982525484,13
337,0,6,2,10,0.083125576,7
338,1,7,1,3,0.494666582,87
339,9,3,4,3,0.921904839,0
340,3,4,7,6,0.317711307,14
341,6,6,7,8,0.549818471,73
342,1,3,1,9,0.567018895,69
343,7,10,6,0,0.142954449,38
344,10,5,1,7,0.085866309,46
345,8,0,9,0,0.629392072,71
346,2,1,7,5,0.560310306,14
347,6,1,5,1,0.573028087,12
348,9,3,3,3,0.027839376,33
349,2,3,4,0,0.702389688,76
350,6,5,1,6,0.910757056,28
351,2,2,9,9,0.384123887,36
352,3,4,9,8,0.447719132,17
353,7,9,0,0,0.103546003,88
354,1,6,5,9,0.326775836,54
355,8,2,4,10,0.543235915,45
356,10,10,6,0,0.99697428,4
357,1,5,2,0,0.05490303,7
358,6,0,1,2,0.913420146,27
359,9,10,7,2,0.112596991,61
360,4,1,7,2,0.574552065,42
361,8,1,6,2,0.497294185,96
362,6,4,7,2,0.944224352,25
363,4,5,2,3,0.089345065,21
364,6,7,6,1,0.431738868,45
365,6,9,4,8,0.73417723,51
366,9,7,3,9,0.048939623,86
367,2,7,10,5,0.818566729,21
368,8,6,2,6,0.052505297,28
369,1,2,9,7,0.953757369,11
370,9,5,2,10,0.191059789,30
371,9,2,7,6,0.956740086,47
372,5,3,0,2,0.910284829,37
373,8,1,10,8,0.105213298,2
374,4,10,8,8,0.06251422,91
375,1,5,6,3,0.469108789,2
376,6,9,9,4,0.421108539,77
377,0,5,5,2,0.386873346,85
378,6,9,7,4,0.143252778,41
379,7,6,7,1,0.640251017,85
380,7,8,8,7,0.87524052,91
381,4,2,7,4,0.650495539,79
382,7,5,5,2,0.239615399,12
383,9,5,4,9,0.990171604,72
384,6,6,10,9,0.402721475,64
385,4,8,5,3,0.4099679,27
386,5,10,0,10,0.240365476,95
387,9,7,0,4,0.513670585,96
388,2,0,3,2,0.554254725,15
389,8,5,9,7,0.986766147,34
390,2,4,2,7,0.46406326,24
391,4,2,3,3,0.985315011,11
392,0,7,3,2,0.087206706,65
393,7,2,7,0,0.526884716,93
394,10,0,8,3,0.034192106,1
395,5,5,6,5,0.579705542,76
396,2,6,0,5,0.124865494,96
397,8,4,0,6,0.2336384,61
398,2,0,7,4,0.50975419,14
399,5,6,1,1,0.928738617,77
400,7,1,2,0,0.36996533,53
401,8,6,9,10,0.613246264,23
402,3,6,9,6,0.26354303,41
403,1,9,2,0,0.524798974,19
404,1,0,2,9,0.679450215,68
405,5,3,4,10,0.46895295,55
406,10,7,9,10,0.364751709,93
407,4,5,5,4,0.87355063,42
408,5,10,0,7,0.835501926,75
409,6,3,9,9,0.077097721,45
410,3,3,4,9,0.169148591,61
411,6,3,5,10,0.822839505,21
412,10,1,5,4,0.17968437,14
413,5,0,7,10,0.687907152,88
414,5,3,5,4,0.610620186,57
415,10,4,9,10,0.506836557,1
416,1,3,9,0,0.348032819,29
417,1,6,0,10,0.199440749,77
418,2,10,8,5,0.093829958,59
419,9,8,10,8,0.165291566,14
420,0,10,3,6,0.127713531,63
421,0,7,4,2,0.169360683,32
422,5,5,10,4,0.879459722,49
423,10,3,6,9,0.138614446,30
424,4,6,4,4,0.965010856,94
425,3,6,8,3,0.255547232,62
426,8,2,7,10,0.655590532,9
427,7,3,6,9,0.843958586,94
428,10,6,0,6,0.558789304,59
429,9,9,5,0,0.727463596,0
430,8,1,7,7,0.017322001,45
431,0,3,6,3,0.0615773,18
432,9,6,6,0,0.539144886,19
433,4,9,9,10,0.151260033,30
434,6,10,6,3,0.830984041,27
435,5,7,9,1,0.212714112,26
436,5,8,8,5,0.015920715,73
437,7,1,7,9,0.892869463,16
438,0,5,10,10,0.610541567,89
439,9,9,0,10,0.046660639,29
440,5,5,6,10,0.481176167,28
441,7,7,7,1,0.963615685,42
442,5,5,6,4,0.977153568,88
443,0,8,4,3,0.719470074,11
444,5,5,1,3,0.983224386,51
445,7,3,7,0,0.448612824,70
446,2,10,2,3,0.599347705,7
447,7,7,1,1,0.892549565,65
448,0,9,3,10,0.896039566,6
449,8,9,8,6,0.043355069,52
450,8,5,6,5,0.482685245,67
451,6,10,7,10,0.145102609,44
452,6,9,8,3,0.421237178,42
453,8,1,2,8,0.703713681,32
454,2,5,7,0,0.729731114,95
455,4,4,3,7,0.678190541,51
456,10,4,3,2,0.240989254,67
457,7,4,1,3,0.817902308,68
458,7,8,7,8,0.43630794,14
459,2,10,0,9,0.624034055,10
460,2,9,0,3,0.406809196,52
461,10,4,0,8,0.28872834,26
462,3,10,10,9,0.258449834,83
463,4,5,3,6,0.554859267,27
464,6,6,3,10,0.65276439,44
465,5,0,10,1,0.37172984,72
466,4,5,8,0,0.636559097,99
467,5,3,0,7,0.806586896,51
468,1,5,7,9,0.403914519,6
469,3,10,6,7,0.534517294,13
470,0,5,8,4,0.680151092,66
471,4,5,0,3,0.872258204,7
472,0,2,8,7,0.623784876,14
473,10,6,0,10,0.259568562,55
474,4,5,9,2,0.51867718,74
475,9,8,6,9,0.593021703,35
476,5,6,10,0,0.776670078,48
477,9,7,4,1,0.013106946,59
478,10,1,4,7,0.17565446,65
479,1,8,9,1,0.36692268,12
480,9,2,8,1,0.908014321,87
481,7,8,1,2,0.454033444,61
482,4,10,3,1,0.771291304,91
483,4,0,10,5,0.427931068,18
484,3,2,6,2,0.727994074,66
485,6,7,0,2,0.037533261,58
486,8,7,2,7,0.417581435,92
487,4,7,6,4,0.70949106,17
488,7,8,3,8,0.979775403,19
489,9,1,9,5,0.425381745,10
490,3,3,4,9,0.018334526,88
491,2,4,1,10,0.207493026,46
492,6,1,5,1,0.206525095,80
493,7,2,8,4,0.631016795,53
494,7,5,4,5,0.215946768,2
495,6,8,3,10,0.191686774,61
496,5,4,8,8,0.196375821,81
497,2,5,2,2,0.547418009,26
498,9,2,10,1,0.657326153,42
499,8,2,0,4,0.762861814,62
500,6,1,9,4,0.537771107,67
501,9,9,3,8,0.466133534,77
502,6,2,4,1,0.41818458,16
503,5,10,6,3,0.205820867,84
504,2,7,4,8,0.925445231,41
505,7,4,8,3,0.919243239,93
506,1,9,0,4,0.239178024,82
507,6,7,9,6,0.199111981,21
508,4,5,7,5,0.957811087,44
509,8,7,4,3,0.795798861,64
510,6,1,10,9,0.779059078,14
511,2,2,9,4,0.022439466,40
512,7,6,0,9,0.701129974,74
513,7,9,0,7,0.882246044,97
514,7,5,9,4,0.141681853,52
515,6,2,4,9,0.591351013,73
516,7,1,5,4,0.06298682,86
517,8,4,3,10,0.619167348,3
518,6,6,3,6,0.756400783,87
519,1,8,5,7,0.95721069,83
520,9,3,10,0,0.194455537,34
521,2,6,1,1,0.552197628,20
522,0,5,7,10,0.194375864,76
523,7,4,8,10,0.030191635,51
524,7,4,2,10,0.993057774,50
525,7,0,6,5,0.442373302,95
526,2,4,4,3,0.189208361,80
527,3,4,2,8,0.438078719,27
528,2,2,5,2,0.808850939,1
529,4,10,6,3,0.009022983,35
530,10,9,1,4,0.731098995,70
531,10,1,4,0,0.878018063,95
532,7,6,7,5,0.660951718,31
533,5,8,6,4,0.319015731,6
534,10,9,8,4,0.306022957,46
535,8,9,9,3,0.403349474,8
536,3,7,1,6,0.111976635,12
537,10,3,7,1,0.853539136,70
538,4,4,2,0,0.302558645,4
539,3,7,7,4,0.594440558,1
540,7,9,0,10,0.568924597,100
541,5,7,4,9,0.480351927,38
542,4,1,8,9,0.240211171,44
543,9,2,0,2,0.029334428,91
544,9,6,6,6,0.836663967,81
545,7,4,2,8,0.157171659,66
546,2,5,8,7,0.44275875,71
547,3,6,9,8,0.555000803,21
548,9,9,7,1,0.6560042,82
549,2,3,10,9,0.479949876,80
550,5,8,7,9,0.941621855,35
551,6,9,5,1,0.975040863,88
552,10,1,7,10,0.057709047,6
553,8,2,4,10,0.74158303,44
554,9,4,6,5,0.558563547,57
555,6,0,3,4,0.974583173,97
556,10,1,10,9,0.029825746,92
557,7,2,7,5,0.90739722,8
558,7,6,1,6,0.15272177,49
559,10,1,6,0,0.445672477,33
560,4,6,1,9,0.927764473,94
561,5,1,3,1,0.071307942,42
562,6,9,1,1,0.77138519,51
563,8,8,10,3,0.564095373,85
564,9,9,2,7,0.171605797,64
565,7,4,5,2,0.113716216,99
566,0,2,6,2,0.896598134,87
567,5,9,8,6,0.081101972,93
568,5,6,6,7,0.527636471,43
569,6,8,9,7,0.290609324,27
570,3,7,3,8,0.2660164,61
571,6,8,6,9,0.907670535,37
572,1,3,7,2,0.148033281,30
573,5,3,0,0,0.640762824,75
574,6,4,10,7,0.230418827,49
575,6,5,7,2,0.43880116,95
576,9,6,8,3,0.449913135,53
577,2,9,4,5,0.944105011,25
578,6,3,7,1,0.139866701,81
579,1,5,8,4,0.371499155,11
580,6,0,1,3,0.447124577,50
581,7,10,8,2,0.807347053,69
582,7,7,6,2,0.146884557,90
583,9,1,1,6,0.635782268,65
584,0,0,1,3,0.068596668,46
585,8,0,2,1,0.04689551,97
586,10,0,1,8,0.544232392,89
587,10,10,0,5,0.07804872,88
588,4,0,9,4,0.735109592,84
589,7,0,8,9,0.120951435,33
590,9,4,9,0,0.517331922,61
591,3,4,6,6,0.787663009,81
592,3,3,0,10,0.631478799,34
593,5,1,3,4,0.892148141,36
594,2,10,7,7,0.863795909,33
595,9,3,6,10,0.068646565,61
596,0,10,8,10,0.446289082,49
597,4,7,6,9,0.897571329,27
598,9,9,2,0,0.316625676,29
599,2,0,6,3,0.43473634,71
600,0,3,4,1,0.63819433,45
