id,c1,c2,c3,c4,c5,c6,,,,
80,8,0,6,1,0.40222943,20,,,,
81,10,0,8,6,0.014281984,0,,,,
82,0,4,3,10,0.055494401,22,,,,
83,4,10,9,3,0.073881882,73,,,,
84,7,10,5,8,0.359539845,84,,,,
85,10,7,5,10,0.046659638,53,,,,
86,0,5,8,7,0.63165779,88,,,,
87,2,8,7,1,0.33206748,45,,,,
88,4,10,0,0,0.475687736,80,,,,
89,6,6,10,4,0.2894196,0,,,,
90,2,1,10,9,0.917186445,93,,,,
91,9,1,6,8,0.027862829,82,,,,
92,8,7,3,2,0.115402671,46,,,,
93,9,3,0,8,0.161042623,72,,,,
94,5,3,1,3,0.912929188,77,,,,
95,2,6,2,9,0.912720985,97,,,,
96,9,6,6,7,0.325940557,75,,,,
97,5,9,4,10,0.909510627,39,,,,
98,4,2,2,9,0.56159427,68,,,,
99,5,9,9,7,0.619469476,99,,,,
100,9,4,6,8,0.838908927,97,,,,
101,9,6,3,0,0.952821017,57,,,,
102,3,6,6,7,0.618364197,39,,,,
103,2,7,1,6,0.172973782,88,,,,
104,6,1,4,1,0.477424455,72,,,,
105,6,6,2,10,0.701252723,76,,,,
106,1,2,2,6,0.271159299,0,,,,
107,10,10,2,5,0.804386657,69,,,,
108,8,8,6,4,0.527602202,68,,,,
109,8,4,9,4,0.098445537,42,,,,
110,4,2,6,0,0.219186082,34,,,,
111,6,9,2,8,0.170953515,92,,,,
112,3,1,3,7,0.156869575,97,,,,
113,5,4,6,6,0.294781417,9,,,,
114,2,10,0,1,0.764821453,78,,,,
115,3,1,3,0,0.372938468,98,,,,
116,9,1,10,3,0.96414873,24,,,,
117,8,4,0,6,0.067590004,27,,,,
118,1,10,8,6,0.02891924,40,,,,
119,4,0,9,9,0.367785983,91,,,,
120,3,10,6,1,0.963637598,80,,,,
121,8,4,8,9,0.498871484,21,,,,
122,4,8,3,10,0.685469534,89,,,,
123,7,4,1,7,0.648513758,88,,,,
124,10,2,10,5,0.547937408,45,,,,
125,10,7,4,3,0.741627298,69,,,,
126,0,4,2,10,0.7295392,72,,,,
127,1,9,1,4,0.716734158,91,,,,
128,6,6,7,7,0.153437354,60,,,,
129,8,7,6,10,0.948450425,30,,,,
130,2,8,2,6,0.073228517,45,,,,
131,4,0,5,7,0.775926471,95,,,,
132,3,7,0,8,0.527752356,61,,,,
133,6,2,1,7,0.197978253,46,,,,
134,5,6,5,5,0.287243648,58,,,,
135,4,1,3,3,0.066811733,39,,,,
136,9,1,0,5,0.125513938,50,,,,
137,6,5,10,1,0.620108643,16,,,,
138,7,6,7,10,0.382720786,63,,,,
139,0,7,3,6,0.876121041,56,,,,
140,3,3,1,9,0.747333118,83,,,,
141,6,0,1,10,0.251895485,52,,,,
142,1,5,4,6,0.196215083,12,,,,
143,10,10,3,8,0.573748419,42,,,,
144,6,5,7,0,0.79507702,30,,,,
145,0,2,4,0,0.65781083,60,,,,
146,7,8,0,1,0.67650583,32,,,,
147,8,9,1,3,0.584653951,35,,,,
148,1,1,5,1,0.298985191,69,,,,
149,1,0,1,1,0.460203806,83,,,,
150,6,3,3,9,0.158057811,72,,,,
151,1,1,5,0,0.729597486,4,,,,
152,3,1,7,4,0.941599638,62,,,,
153,3,0,5,5,0.965185557,19,,,,
154,4,6,4,6,0.776274211,75,,,,
155,3,0,10,3,0.988976018,81,,,,
156,4,9,0,9,0.317510383,69,,,,
157,9,6,5,4,0.405408607,97,,,,
158,9,5,5,3,0.170028333,3,,,,
159,4,7,6,8,0.831735634,81,,,,
160,8,0,7,5,0.276985478,17,,,,
161,6,7,3,6,0.7385072,86,,,,
162,7,9,4,3,0.837480944,93,,,,
163,8,9,3,9,0.687137796,8,,,,
164,5,6,4,8,0.322497214,95,,,,
165,5,6,6,6,0.240432311,18,,,,
166,9,5,4,1,0.201110991,83,,,,
167,2,9,5,9,0.312294555,47,,,,
168,10,4,8,6,0.685075036,48,,,,
169,10,7,0,9,0.390428724,72,,,,
170,5,5,4,6,0.64351908,65,,,,
171,8,1,5,8,0.078919691,73,,,,
172,9,5,10,3,0.95860016,93,,,,
173,10,3,10,0,0.097032616,88,,,,
174,7,4,9,1,0.417420102,40,,,,
175,3,2,4,1,0.184107456,75,,,,
176,1,6,7,3,0.520544399,8,,,,
177,8,1,6,6,0.138804855,63,,,,
178,7,8,6,6,0.871575888,47,,,,
179,0,7,2,7,0.092095995,59,,,,
180,8,1,4,0,0.898118966,49,,,,
181,9,3,4,0,0.078969568,88,,,,
182,5,6,7,5,0.448162403,77,,,,
183,8,6,10,2,0.857022262,81,,,,
184,2,0,6,1,0.167971317,44,,,,
185,5,2,3,5,0.480690521,61,,,,
186,3,0,10,0,0.941250112,92,,,,
187,1,0,3,7,0.631907759,70,,,,
188,7,6,1,10,0.575276126,98,,,,
189,9,5,7,3,0.411517725,97,,,,
190,0,6,2,5,0.738492813,25,,,,
191,5,9,9,0,0.278070112,69,,,,
192,6,5,3,1,0.952933429,10,,,,
193,2,0,8,7,0.572153888,66,,,,
194,9,3,4,7,0.798176844,57,,,,
195,8,1,0,5,0.903617774,39,,,,
196,4,1,3,8,0.019450384,21,,,,
197,6,2,9,4,0.476452442,58,,,,
198,3,8,5,8,0.897850677,1,,,,
199,5,10,8,5,0.32120052,83,,,,
200,8,1,3,7,0.835911746,55,,,,
201,3,10,8,3,0.447696836,24,,,,
202,3,2,10,0,0.798964648,21,,,,
203,4,9,2,7,0.576943494,94,,,,
204,5,2,3,2,0.161712996,93,,,,
205,0,2,4,7,0.039397986,77,,,,
206,9,3,6,8,0.251534154,54,,,,
207,3,0,6,10,0.372411319,79,,,,
208,8,4,9,1,0.928500557,77,,,,
209,5,9,2,0,0.145281679,66,,,,
210,10,7,0,9,0.439651937,65,,,,
211,3,6,8,0,0.824275605,21,,,,
212,6,9,3,5,0.30776192,56,,,,
213,8,4,0,1,0.333628141,16,,,,
214,2,1,0,10,0.823278233,38,,,,
215,6,10,5,0,0.421475798,99,,,,
216,8,0,7,3,0.211392383,66,,,,
217,2,4,0,6,0.591519047,37,,,,
218,7,6,0,9,0.51025003,99,,,,
219,3,5,4,8,0.221198682,38,,,,
220,10,6,9,5,0.589434754,100,,,,
221,4,6,4,6,0.07777014,81,,,,
222,4,9,7,4,0.61319813,67,,,,
223,6,6,0,1,0.328327986,67,,,,
224,0,4,2,0,0.843454484,40,,,,
225,1,10,4,6,0.995570227,90,,,,
226,8,10,1,2,0.600474225,80,,,,
227,4,5,1,10,0.258630307,60,,,,
228,6,8,3,7,0.990262137,88,,,,
229,5,2,2,8,0.727487569,16,,,,
230,2,9,8,3,0.974797383,32,,,,
231,1,4,10,4,0.418778409,41,,,,
232,7,5,3,6,0.317793797,26,,,,
233,7,6,9,9,0.926197932,54,,,,
234,9,5,4,4,0.127589474,17,,,,
235,8,0,5,6,0.619623298,13,,,,
236,2,4,0,7,0.052848432,81,,,,
237,4,7,2,9,0.155386942,62,,,,
238,4,1,5,0,0.614419739,65,,,,
239,0,7,2,8,0.889081921,43,,,,
240,5,3,0,2,0.36023679,34,,,,
241,0,5,0,7,0.366316755,16,,,,
242,0,3,7,0,0.401453759,22,,,,
243,8,6,3,4,0.866743904,33,,,,
244,6,3,10,6,0.003952257,50,,,,
245,7,3,0,1,0.634391876,3,,,,
246,4,0,4,10,0.828315743,30,,,,
247,10,0,6,6,0.615318431,92,,,,
248,4,5,2,4,0.031320949,3,,,,
249,4,0,6,6,0.181733822,74,,,,
250,10,2,5,6,0.448684139,64,,,,
251,10,0,9,6,0.339509391,99,,,,
252,9,7,5,8,0.369242835,79,,,,
253,9,3,2,4,0.499669128,87,,,,
254,6,3,10,7,0.255772525,60,,,,
255,9,7,10,5,0.11052413,46,,,,
256,5,10,2,1,0.919234326,32,,,,
257,4,1,7,7,0.536521437,49,,,,
258,3,1,5,9,0.806380596,89,,,,
259,4,1,6,7,0.092889372,29,,,,
260,8,8,5,9,0.695690809,28,,,,
261,2,3,10,9,0.277597888,52,,,,
262,5,0,7,6,0.448807193,89,,,,
263,10,4,7,5,0.105485647,48,,,,
264,1,6,1,9,0.186952686,69,,,,
265,10,6,10,8,0.036461864,69,,,,
266,5,0,4,6,0.442264231,79,,,,
267,4,5,0,8,0.637978221,43,,,,
268,9,2,1,9,0.622124166,41,,,,
269,3,9,1,1,0.032299813,99,,,,
270,6,7,8,3,0.055214187,94,,,,
271,4,7,9,6,0.53929396,75,,,,
272,3,2,6,4,0.019609593,19,,,,
273,2,0,6,3,0.412272399,36,,,,
274,4,7,7,7,0.142115914,29,,,,
275,10,0,0,9,0.146976482,61,,,,
276,6,4,4,0,0.491925371,73,,,,
277,2,0,7,1,0.184435231,2,,,,
278,0,2,4,10,0.322337038,8,,,,
279,0,5,0,10,0.634513779,16,,,,
280,2,1,1,10,0.175536812,28,,,,
281,9,5,8,5,0.122988575,57,,,,
282,3,10,9,4,0.610849915,34,,,,
283,0,7,9,5,0.514181997,51,,,,
284,7,0,8,4,0.583442885,67,,,,
285,9,5,10,10,0.509072977,47,,,,
286,4,3,2,1,0.598820341,94,,,,
287,2,7,10,8,0.677020138,73,,,,
288,8,6,7,3,0.797525431,48,,,,
289,10,3,3,9,0.896262604,57,,,,
290,3,1,6,10,0.822528573,12,,,,
291,6,10,6,5,0.831250054,46,,,,
292,7,0,8,10,0.850520801,6,,,,
293,4,9,10,9,0.339368633,99,,,,
294,5,2,9,7,0.644816648,48,,,,
295,0,10,0,7,0.040426389,24,,,,
296,1,7,7,9,0.399056095,81,,,,
297,6,1,2,4,0.074735208,16,,,,
298,0,8,3,9,0.857683998,94,,,,
299,8,10,8,9,0.436912459,54,,,,
300,0,5,3,1,0.867959298,61,,,,
,,,,,,,,,,
 ,c1-sd,c2-sd,c3-sd,c4-sd,c5-sd,c6-sd,group-sd-sum,,Avg,SD
group 1 ,3.862210075,4.163331999,3.774917218,4.041451884,0.191056098,23.04162899,39.07459627,0.040972991,39.72295943,9.715054342
group 2,3.696845502,4.320493799,3.31662479,1.414213562,0.314214103,15.32699144,28.3893832,0.02079397,,
group 3,2.986078811,2.62995564,2.160246899,2.828427125,0.370654722,25.90205912,36.87742232,0.039340123,,
group 4,1.5,2.362907813,4.11298756,3.403429643,0.301926815,35.29400327,46.9752551,0.031078254,,
group 5,2.160246899,2.62995564,3.829708431,3.464101615,0.416832914,30.29851482,42.79936031,0.039056224,,
group 6,3.16227766,2.828427125,2.160246899,3.304037934,0.311319486,14.00892573,25.77523483,0.014651596,,
group 7,3.741657387,1.732050808,3.862210075,1.892969449,0.322828906,42.39889936,53.95061598,0.014052019,,
group 8,2.828427125,1.825741858,3.785938897,4.272001873,0.362953961,38.54434675,51.61941047,0.01940234,,
group 9,3.785938897,2.516611478,1.914854216,4.425306016,0.119764902,25.59133968,38.35381519,0.040658561,,
group 10,3.696845502,2.160246899,4.425306016,4.123105626,0.348388365,13.4412301,28.19512251,0.020310459,,
group 11,2.061552813,3.741657387,4.031128874,2.217355783,0.415051283,24.51360167,36.98034781,0.039460174,,
group 12,2.309401077,4.193248542,2.160246899,5.5,0.279947787,31.05237511,45.49521942,0.034419706,,
group 13,3.696845502,3.829708431,2.943920289,3.304037934,0.204432624,36.138622,50.11756678,0.023167379,,
group 14,2.753785274,3.741657387,3.774917218,3.464101615,0.341981535,19.27865832,33.35510135,0.033126191,,
group 15,4.082482905,1.825741858,3.403429643,1.914854216,0.356419508,24.87971061,36.46263874,0.038815831,,
group 16,1.290994449,3.31662479,3.109126351,3.593976442,0.316792288,24.30877756,35.93629188,0.038060557,,
group 17,2.516611478,4.242640687,3.5,2.160246899,0.276259695,24.66441431,37.36017307,0.039867634,,
group 18,2.160246899,2.081665999,1.632993162,3.403429643,0.331891764,39.47995272,49.09018019,0.025798148,,
group 19,4.242640687,2.986078811,3.862210075,3.559026084,0.400925057,30.81666216,45.86754287,0.033620104,,
group 20,2.217355783,3.304037934,2.62995564,2.217355783,0.274835217,33.71819489,44.36173525,0.036640161,,
group 21,3.16227766,3.109126351,3.593976442,3.696845502,0.357340365,24.73021094,38.64977726,0.040814553,,
group 22,0.957427108,1.914854216,3.366501646,4.69041576,0.24172178,19.94158135,31.11250186,0.027726143,,
group 23,2.581988897,4.618802154,2.645751311,0.957427108,0.295555598,34.89388676,45.99341183,0.033342932,,
group 24,4.082482905,2.872281323,2.62995564,2.449489743,0.266343566,43.55073669,55.85128987,0.010351289,,
group 25,2,2.872281323,4.242640687,3.559026084,0.277716616,26.53770902,39.48937373,0.041052471,,
group 26,2.160246899,2.872281323,1.825741858,3.741657387,0.234510186,15.37042615,26.2048638,0.015596735,,
group 27,3.559026084,2.160246899,1.5,2.081665999,0.310187026,20.64582282,30.25694883,0.025545121,,
group 28,3.862210075,2.160246899,2.828427125,2.828427125,0.149756446,40.00416645,51.83323412,0.018881828,,
group 29,3.511884584,2.872281323,0.957427108,0.816496581,0.219982213,28.81550509,37.19357689,0.039695871,,
group 30,3.304037934,4.041451884,1.5,3.872983346,0.034254058,6.994045086,19.74677231,0.004958689,,
group 31,2.872281323,2.217355783,3.304037934,2.516611478,0.273048837,20.00624902,31.18958438,0.027920928,,
group 32,3.403429643,3.559026084,1.414213562,1,0.217368862,29.03302717,38.62706532,0.040803903,,
group 33,1,3.559026084,1,2.62995564,0.237524063,18.02544498,26.45195076,0.016153354,,
group 34,2.309401077,4.358898944,2.62995564,2.872281323,0.381214321,24.22636305,36.77811435,0.039220464,,
group 35,4.434711565,3,3.31662479,4.041451884,0.303147798,22.588714,37.68465003,0.040170387,,
group 36,1.5,3.366501646,2.061552813,3,0.306787164,14.82115605,25.05599767,0.013138155,,
group 37,2.160246899,4.082482905,2.081665999,3.5,0.316176557,19.88927684,32.0298492,0.030012289,,
group 38,3.201562119,4.358898944,2.986078811,2.516611478,0.342019641,27.47726333,40.88243432,0.040772917,,
group 39,2.872281323,3.16227766,4.509249753,3.366501646,0.103549092,39.90300741,53.91686688,0.014123605,,
group 40,2.645751311,2.645751311,3.651483717,3.696845502,0.296413509,40.70524127,53.64148662,0.014714884,,
group 41,5.196152423,2,2.516611478,3.774917218,0.138195347,40.20261186,53.82848832,0.014311983,,
group 42,2.581988897,3.862210075,1.914854216,2.380476143,0.210619754,11.47097787,22.42112696,0.008408845,,
group 43,2.753785274,3.559026084,2.081665999,4,0.261086438,12.50333289,25.15889668,0.01334918,,
group 44,4.716990566,3.265986324,4.272001873,2.986078811,0.322238085,36.74688195,52.31017761,0.017739572,,
group 45,3.696845502,2.309401077,4.69041576,2.645751311,0.406714705,14.0118997,27.76102806,0.019242425,,
group 46,2.449489743,1.258305739,3.201562119,2.380476143,0.212889891,40.77989701,50.28262064,0.022746767,,
group 47,4.434711565,1.5,3.31662479,1.258305739,0.315688518,35.12359131,45.94892193,0.033441281,,
group 48,1.914854216,2.217355783,3.774917218,3.109126351,0.391629403,18.49324201,29.90112498,0.024633036,,
group 49,2.449489743,3.109126351,2.380476143,2.986078811,0.327358156,37.67404058,48.92656978,0.026216758,,
group 50,2.872281323,3.095695937,4.34932945,3.511884584,0.280408144,16.44181661,30.55141605,0.026298723,,
group 51,3.201562119,3.774917218,2.886751346,1.258305739,0.236634328,29.45618215,40.8143529,0.040806031,,
group 52,2.62995564,2.943920289,2.160246899,1.5,0.36918899,22.69177531,32.29508713,0.030656779,,
group 53,2.160246899,2.061552813,2.160246899,1.914854216,0.404757031,39.64320034,48.3448582,0.0276972,,
group 54,3.16227766,3,2.753785274,4.795831523,0.125967182,23.44319375,37.28105539,0.039787429,,
group 55,2.645751311,3.559026084,1.892969449,3.559026084,0.368700223,23.87467277,35.90014592,0.038005139,,
group 56,3.862210075,2.753785274,4.924428901,3.304037934,0.362289537,15.28615932,30.49291104,0.026149159,,
group 57,2.986078811,3.109126351,1.258305739,2.5,0.370882007,31.06310781,41.28750072,0.040535278,,
group 58,1.732050808,3.872983346,2.380476143,4.645786622,0.179821146,40.20364826,53.01476632,0.016106147,,
group 59,1.414213562,2.872281323,2.449489743,4.123105626,0.313975534,35.71180944,46.88487523,0.031293482,,
group 60,1.258305739,5,3.741657387,3.109126351,0.352358681,19.25270544,32.7141536,0.031655248,,
group 61,3.415650255,3.16227766,3.109126351,1.732050808,0.177686143,38.61239007,50.20918128,0.022933781,,
group 62,3.593976442,4.34932945,1.914854216,2.645751311,0.36806023,37.99561378,50.86758543,0.021267144,,
group 63,2.217355783,4.358898944,1.414213562,2.62995564,0.203289307,31.70042061,42.52413384,0.039392364,,
group 64,1.290994449,2.708012802,3.785938897,4.203173404,0.362850792,23.3023604,35.65333074,0.037614958,,
group 65,2.217355783,3,2.828427125,3.774917218,0.3022713,11.03026141,23.15323283,0.009589338,,
group 66,3.593976442,4.193248542,3.095695937,4.082482905,0.172996939,42.96898106,58.10738182,0.006852535,,
group 67,1.914854216,1.914854216,3.774917218,2.886751346,0.166726313,24.37724349,35.03534679,0.036551858,,
group 68,2.380476143,3.685557398,2.5,3.095695937,0.347432512,27.0724337,39.08159569,0.04097495,,
group 69,2.160246899,3.872983346,3.774917218,4.654746681,0.346724981,23.38624952,38.19586865,0.040560149,,
group 70,2.645751311,4.434711565,2.362907813,2.828427125,0.297772689,37.41991448,49.98948499,0.023494453,,
group 71,3.774917218,3,3.651483717,2.872281323,0.207361689,7.325753659,20.8317976,0.006200018,,
group 72,4.5,3.696845502,4.434711565,2.753785274,0.195026766,30.45625278,46.03662189,0.033247022,,
group 73,3.5,2.217355783,3.5,5.259911279,0.334656117,35.30226622,50.11418939,0.023175997,,
group 74,3.109126351,3.915780041,4.242640687,1.825741858,0.278923601,38.99893161,52.37114415,0.017595575,,
group 75,2,4.242640687,4.031128874,3.651483717,0.139291272,27.23967694,41.30422149,0.040523984,,
