id,c1,c2,c3,c4,c5,c6,,,,
80,8,0,6,1,0.40222943,20,,,,
81,10,0,8,6,0.014281984,0,,,,
82,0,4,3,10,0.055494401,22,,,,
83,4,10,9,3,0.073881882,73,,,,
84,7,10,5,8,0.359539845,84,,,,
85,10,7,5,10,0.046659638,53,,,,
86,0,5,8,7,0.63165779,88,,,,
87,2,8,7,1,0.33206748,45,,,,
88,4,10,0,0,0.475687736,80,,,,
89,6,6,10,4,0.2894196,0,,,,
90,2,1,10,9,0.917186445,93,,,,
91,9,1,6,8,0.027862829,82,,,,
92,8,7,3,2,0.115402671,46,,,,
93,9,3,0,8,0.161042623,72,,,,
94,5,3,1,3,0.912929188,77,,,,
95,2,6,2,9,0.912720985,97,,,,
96,9,6,6,7,0.325940557,75,,,,
97,5,9,4,10,0.909510627,39,,,,
98,4,2,2,9,0.56159427,68,,,,
99,5,9,9,7,0.619469476,99,,,,
100,9,4,6,8,0.838908927,97,,,,
101,9,6,3,0,0.952821017,57,,,,
102,3,6,6,7,0.618364197,39,,,,
103,2,7,1,6,0.172973782,88,,,,
104,6,1,4,1,0.477424455,72,,,,
105,6,6,2,10,0.701252723,76,,,,
106,1,2,2,6,0.271159299,0,,,,
107,10,10,2,5,0.804386657,69,,,,
108,8,8,6,4,0.527602202,68,,,,
109,8,4,9,4,0.098445537,42,,,,
110,4,2,6,0,0.219186082,34,,,,
111,6,9,2,8,0.170953515,92,,,,
112,3,1,3,7,0.156869575,97,,,,
113,5,4,6,6,0.294781417,9,,,,
114,2,10,0,1,0.764821453,78,,,,
115,3,1,3,0,0.372938468,98,,,,
116,9,1,10,3,0.96414873,24,,,,
117,8,4,0,6,0.067590004,27,,,,
118,1,10,8,6,0.02891924,40,,,,
119,4,0,9,9,0.367785983,91,,,,
120,3,10,6,1,0.963637598,80,,,,
121,8,4,8,9,0.498871484,21,,,,
122,4,8,3,10,0.685469534,89,,,,
123,7,4,1,7,0.648513758,88,,,,
124,10,2,10,5,0.547937408,45,,,,
125,10,7,4,3,0.741627298,69,,,,
126,0,4,2,10,0.7295392,72,,,,
127,1,9,1,4,0.716734158,91,,,,
128,6,6,7,7,0.153437354,60,,,,
129,8,7,6,10,0.948450425,30,,,,
130,2,8,2,6,0.073228517,45,,,,
131,4,0,5,7,0.775926471,95,,,,
132,3,7,0,8,0.527752356,61,,,,
133,6,2,1,7,0.197978253,46,,,,
134,5,6,5,5,0.287243648,58,,,,
135,4,1,3,3,0.066811733,39,,,,
136,9,1,0,5,0.125513938,50,,,,
137,6,5,10,1,0.620108643,16,,,,
138,7,6,7,10,0.382720786,63,,,,
139,0,7,3,6,0.876121041,56,,,,
140,3,3,1,9,0.747333118,83,,,,
141,6,0,1,10,0.251895485,52,,,,
142,1,5,4,6,0.196215083,12,,,,
143,10,10,3,8,0.573748419,42,,,,
144,6,5,7,0,0.79507702,30,,,,
145,0,2,4,0,0.65781083,60,,,,
146,7,8,0,1,0.67650583,32,,,,
147,8,9,1,3,0.584653951,35,,,,
148,1,1,5,1,0.298985191,69,,,,
149,1,0,1,1,0.460203806,83,,,,
150,6,3,3,9,0.158057811,72,,,,
151,1,1,5,0,0.729597486,4,,,,
152,3,1,7,4,0.941599638,62,,,,
153,3,0,5,5,0.965185557,19,,,,
154,4,6,4,6,0.776274211,75,,,,
155,3,0,10,3,0.988976018,81,,,,
156,4,9,0,9,0.317510383,69,,,,
157,9,6,5,4,0.405408607,97,,,,
158,9,5,5,3,0.170028333,3,,,,
159,4,7,6,8,0.831735634,81,,,,
160,8,0,7,5,0.276985478,17,,,,
161,6,7,3,6,0.7385072,86,,,,
162,7,9,4,3,0.837480944,93,,,,
163,8,9,3,9,0.687137796,8,,,,
164,5,6,4,8,0.322497214,95,,,,
165,5,6,6,6,0.240432311,18,,,,
166,9,5,4,1,0.201110991,83,,,,
167,2,9,5,9,0.312294555,47,,,,
168,10,4,8,6,0.685075036,48,,,,
169,10,7,0,9,0.390428724,72,,,,
170,5,5,4,6,0.64351908,65,,,,
171,8,1,5,8,0.078919691,73,,,,
172,9,5,10,3,0.95860016,93,,,,
173,10,3,10,0,0.097032616,88,,,,
174,7,4,9,1,0.417420102,40,,,,
175,3,2,4,1,0.184107456,75,,,,
176,1,6,7,3,0.520544399,8,,,,
177,8,1,6,6,0.138804855,63,,,,
178,7,8,6,6,0.871575888,47,,,,
179,0,7,2,7,0.092095995,59,,,,
180,8,1,4,0,0.898118966,49,,,,
181,9,3,4,0,0.078969568,88,,,,
182,5,6,7,5,0.448162403,77,,,,
183,8,6,10,2,0.857022262,81,,,,
184,2,0,6,1,0.167971317,44,,,,
185,5,2,3,5,0.480690521,61,,,,
186,3,0,10,0,0.941250112,92,,,,
187,1,0,3,7,0.631907759,70,,,,
188,7,6,1,10,0.575276126,98,,,,
189,9,5,7,3,0.411517725,97,,,,
190,0,6,2,5,0.738492813,25,,,,
191,5,9,9,0,0.278070112,69,,,,
192,6,5,3,1,0.952933429,10,,,,
193,2,0,8,7,0.572153888,66,,,,
194,9,3,4,7,0.798176844,57,,,,
195,8,1,0,5,0.903617774,39,,,,
196,4,1,3,8,0.019450384,21,,,,
197,6,2,9,4,0.476452442,58,,,,
198,3,8,5,8,0.897850677,1,,,,
199,5,10,8,5,0.32120052,83,,,,
200,8,1,3,7,0.835911746,55,,,,
201,3,10,8,3,0.447696836,24,,,,
202,3,2,10,0,0.798964648,21,,,,
203,4,9,2,7,0.576943494,94,,,,
204,5,2,3,2,0.161712996,93,,,,
205,0,2,4,7,0.039397986,77,,,,
206,9,3,6,8,0.251534154,54,,,,
207,3,0,6,10,0.372411319,79,,,,
208,8,4,9,1,0.928500557,77,,,,
209,5,9,2,0,0.145281679,66,,,,
210,10,7,0,9,0.439651937,65,,,,
211,3,6,8,0,0.824275605,21,,,,
212,6,9,3,5,0.30776192,56,,,,
213,8,4,0,1,0.333628141,16,,,,
214,2,1,0,10,0.823278233,38,,,,
215,6,10,5,0,0.421475798,99,,,,
216,8,0,7,3,0.211392383,66,,,,
217,2,4,0,6,0.591519047,37,,,,
218,7,6,0,9,0.51025003,99,,,,
219,3,5,4,8,0.221198682,38,,,,
220,10,6,9,5,0.589434754,100,,,,
221,4,6,4,6,0.07777014,81,,,,
222,4,9,7,4,0.61319813,67,,,,
223,6,6,0,1,0.328327986,67,,,,
224,0,4,2,0,0.843454484,40,,,,
225,1,10,4,6,0.995570227,90,,,,
226,8,10,1,2,0.600474225,80,,,,
227,4,5,1,10,0.258630307,60,,,,
228,6,8,3,7,0.990262137,88,,,,
229,5,2,2,8,0.727487569,16,,,,
230,2,9,8,3,0.974797383,32,,,,
231,1,4,10,4,0.418778409,41,,,,
232,7,5,3,6,0.317793797,26,,,,
233,7,6,9,9,0.926197932,54,,,,
234,9,5,4,4,0.127589474,17,,,,
235,8,0,5,6,0.619623298,13,,,,
236,2,4,0,7,0.052848432,81,,,,
237,4,7,2,9,0.155386942,62,,,,
238,4,1,5,0,0.614419739,65,,,,
239,0,7,2,8,0.889081921,43,,,,
240,5,3,0,2,0.36023679,34,,,,
241,0,5,0,7,0.366316755,16,,,,
242,0,3,7,0,0.401453759,22,,,,
243,8,6,3,4,0.866743904,33,,,,
244,6,3,10,6,0.003952257,50,,,,
245,7,3,0,1,0.634391876,3,,,,
246,4,0,4,10,0.828315743,30,,,,
247,10,0,6,6,0.615318431,92,,,,
248,4,5,2,4,0.031320949,3,,,,
249,4,0,6,6,0.181733822,74,,,,
250,10,2,5,6,0.448684139,64,,,,
251,10,0,9,6,0.339509391,99,,,,
252,9,7,5,8,0.369242835,79,,,,
253,9,3,2,4,0.499669128,87,,,,
254,6,3,10,7,0.255772525,60,,,,
255,9,7,10,5,0.11052413,46,,,,
256,5,10,2,1,0.919234326,32,,,,
257,4,1,7,7,0.536521437,49,,,,
258,3,1,5,9,0.806380596,89,,,,
259,4,1,6,7,0.092889372,29,,,,
260,8,8,5,9,0.695690809,28,,,,
261,2,3,10,9,0.277597888,52,,,,
262,5,0,7,6,0.448807193,89,,,,
263,10,4,7,5,0.105485647,48,,,,
264,1,6,1,9,0.186952686,69,,,,
265,10,6,10,8,0.036461864,69,,,,
266,5,0,4,6,0.442264231,79,,,,
267,4,5,0,8,0.637978221,43,,,,
268,9,2,1,9,0.622124166,41,,,,
269,3,9,1,1,0.032299813,99,,,,
270,6,7,8,3,0.055214187,94,,,,
271,4,7,9,6,0.53929396,75,,,,
272,3,2,6,4,0.019609593,19,,,,
273,2,0,6,3,0.412272399,36,,,,
274,4,7,7,7,0.142115914,29,,,,
275,10,0,0,9,0.146976482,61,,,,
276,6,4,4,0,0.491925371,73,,,,
277,2,0,7,1,0.184435231,2,,,,
278,0,2,4,10,0.322337038,8,,,,
279,0,5,0,10,0.634513779,16,,,,
280,2,1,1,10,0.175536812,28,,,,
281,9,5,8,5,0.122988575,57,,,,
282,3,10,9,4,0.610849915,34,,,,
283,0,7,9,5,0.514181997,51,,,,
284,7,0,8,4,0.583442885,67,,,,
285,9,5,10,10,0.509072977,47,,,,
286,4,3,2,1,0.598820341,94,,,,
287,2,7,10,8,0.677020138,73,,,,
288,8,6,7,3,0.797525431,48,,,,
289,10,3,3,9,0.896262604,57,,,,
290,3,1,6,10,0.822528573,12,,,,
291,6,10,6,5,0.831250054,46,,,,
292,7,0,8,10,0.850520801,6,,,,
293,4,9,10,9,0.339368633,99,,,,
294,5,2,9,7,0.644816648,48,,,,
295,0,10,0,7,0.040426389,24,,,,
296,1,7,7,9,0.399056095,81,,,,
297,6,1,2,4,0.074735208,16,,,,
298,0,8,3,9,0.857683998,94,,,,
299,8,10,8,9,0.436912459,54,,,,
300,0,5,3,1,0.867959298,61,,,,
,,,,,,,,,,
 ,c1-sd,c2-sd,c3-sd,c4-sd,c5-sd,c6-sd,group-sd-sum,,Avg,SD
group 1 ,0.5,3.785938897,0.5,4.242640687,0.39383979,4.425306016,13.84772539,0.001242953,40.9213865,10.32687563
group 2,3,4.795831523,3.785938897,4.924428901,0.051518695,23.66960076,40.22731877,0.038544306,40.9213865,10.32687563
group 3,4.031128874,1.5,3.109126351,3.415650255,0.256369771,19.82212568,32.13440094,0.026898329,40.9213865,10.32687563
group 4,3.109126351,3.593976442,2.872281323,3.862210075,0.196787278,29.77135088,43.40573235,0.037529594,40.9213865,10.32687563
group 5,4.991659711,2.872281323,2.828427125,2.217355783,0.352830556,35.14138111,48.40393561,0.029712439,40.9213865,10.32687563
group 6,2.828427125,1.5,0,3.559026084,0.221210094,19.60229578,27.71095909,0.017044967,40.9213865,10.32687563
group 7,2.449489743,0.957427108,3.109126351,3.559026084,0.340159265,11.61536339,22.03059194,0.007249452,40.9213865,10.32687563
group 8,4.434711565,2.872281323,0.957427108,3.5,0.334842302,47.40868416,59.50794645,0.007647536,40.9213865,10.32687563
group 9,3.201562119,4.34932945,0.5,4.34932945,0.248758414,28.86029568,41.50927511,0.038568912,40.9213865,10.32687563
group 10,4.716990566,4.031128874,3.366501646,2.645751311,0.334424526,30.77336511,45.86816203,0.034444078,40.9213865,10.32687563
group 11,3.559026084,4.272001873,2.886751346,3.947573094,0.399992685,16.68082732,31.7461724,0.026033114,40.9213865,10.32687563
group 12,2.160246899,3.947573094,2.753785274,1.632993162,0.347286585,33.36040567,44.20229069,0.036730174,40.9213865,10.32687563
group 13,2.380476143,0.957427108,4.898979486,3.915780041,0.274152849,47.0637865,59.49060213,0.007670678,40.9213865,10.32687563
group 14,2.061552813,3.095695937,0.5,4.69041576,0.31537483,8.180260795,18.84330013,0.003930258,40.9213865,10.32687563
group 15,2.872281323,1.290994449,3.366501646,4.031128874,0.067829691,25.85214369,37.48087967,0.0365459,40.9213865,10.32687563
group 16,4.573474245,3.559026084,3.304037934,2.708012802,0.455965997,37.40209442,52.00261148,0.02172257,40.9213865,10.32687563
group 17,4.242640687,0.957427108,2.986078811,3.16227766,0.154715828,24.52889453,36.03203462,0.034535413,40.9213865,10.32687563
group 18,4.11298756,4.509249753,3.201562119,3.304037934,0.296946576,21.82506205,37.24984599,0.036265442,40.9213865,10.32687563
group 19,3.862210075,2.872281323,2.943920289,0.957427108,0.387725912,20.67808824,31.70165295,0.02593335,40.9213865,10.32687563
group 20,2.380476143,2.943920289,2.081665999,4.242640687,0.262844194,49.12144813,61.03299544,0.005798999,40.9213865,10.32687563
group 21,2.872281323,2.061552813,4.795831523,3.947573094,0.212470099,6.658328118,20.54803697,0.005517934,40.9213865,10.32687563
group 22,1.290994449,4.163331999,2.217355783,3.304037934,0.366912548,21.97726098,33.31989369,0.029463551,40.9213865,10.32687563
group 23,1.914854216,2.217355783,2.62995564,4.123105626,0.312303672,28.34901527,39.5465902,0.038290638,40.9213865,10.32687563
group 24,2.62995564,1.707825128,2.160246899,2.62995564,0.198652366,28.86173938,38.18837505,0.037302004,40.9213865,10.32687563
group 25,1.825741858,4.203173404,2.449489743,2.62995564,0.356960638,39.11840999,50.58373127,0.024936839,40.9213865,10.32687563
group 26,3.696845502,3.862210075,3.403429643,3.741657387,0.454478445,22.33084563,37.48946668,0.036556013,40.9213865,10.32687563
group 27,3.304037934,4.031128874,2.160246899,3.403429643,0.188761976,25.74716813,38.83477345,0.037850854,40.9213865,10.32687563
group 28,4.573474245,3.947573094,4.509249753,3.947573094,0.323372895,34.18576702,51.4870101,0.022889554,40.9213865,10.32687563
group 29,2.5,2.449489743,2.380476143,1.290994449,0.286725391,38.8415585,47.74924422,0.031046674,40.9213865,10.32687563
group 30,3.201562119,2.943920289,3.872983346,4.272001873,0.44473653,27.23202771,41.96723187,0.038433856,40.9213865,10.32687563
group 31,3.862210075,2.217355783,4.082482905,2.753785274,0.410242646,39.619019,52.94509568,0.01961423,40.9213865,10.32687563
group 32,4.031128874,4.725815626,4.924428901,1.732050808,0.248615858,24.90481881,40.56685888,0.038608701,40.9213865,10.32687563
group 33,1.732050808,1.707825128,4.193248542,3.593976442,0.340177328,13.4412301,25.00850835,0.011785281,40.9213865,10.32687563
group 34,2.380476143,2.943920289,2.753785274,2.081665999,0.355044903,33.76758801,44.28248062,0.036638567,40.9213865,10.32687563
group 35,3.109126351,3.304037934,3.304037934,1.914854216,0.379930967,35.84573429,47.85772169,0.030830094,40.9213865,10.32687563
group 36,3,3.31662479,4.11298756,3.16227766,0.075894479,40.9633983,54.63118279,0.016003815,40.9213865,10.32687563
group 37,3.304037934,2,3.5,3.862210075,0.394298382,24.23496097,37.29550736,0.036322141,40.9213865,10.32687563
group 38,1.707825128,3.947573094,3.304037934,4.795831523,0.295774748,29.74334659,43.79438902,0.037165004,40.9213865,10.32687563
group 39,3.403429643,2.5,2.753785274,3.593976442,0.244303808,19.68078589,32.17628106,0.026991086,40.9213865,10.32687563
group 40,2.362907813,2.986078811,4.434711565,3.16227766,0.389267537,32.83798613,46.17322952,0.033945285,40.9213865,10.32687563
group 41,2.160246899,2.943920289,3.201562119,3.304037934,0.383179541,8.539125638,20.53207242,0.005501124,40.9213865,10.32687563
group 42,1.290994449,3.774917218,2.217355783,2.217355783,0.328591735,33.62910446,43.45831943,0.03748316,40.9213865,10.32687563
group 43,3.829708431,2.872281323,2.061552813,4.123105626,0.292512112,3.774917218,16.95407752,0.002613928,40.9213865,10.32687563
group 44,3.696845502,1.707825128,2.449489743,4.123105626,0.314476768,16.77299417,29.06473693,0.019984555,40.9213865,10.32687563
group 45,2.986078811,3.095695937,2.645751311,3.947573094,0.429607228,31.63726705,44.74197344,0.03607607,40.9213865,10.32687563
group 46,2.217355783,3.774917218,3.559026084,4.5,0.252784046,36.46345202,50.76753515,0.024521113,40.9213865,10.32687563
group 47,3.696845502,4.5,4.358898944,2.217355783,0.374102836,29.51835587,44.66555894,0.036173976,40.9213865,10.32687563
group 48,4.991659711,2.081665999,3.16227766,2.160246899,0.099701111,28.82562517,41.32117655,0.038602521,40.9213865,10.32687563
group 49,4.5,3.403429643,2.061552813,4.203173404,0.209668126,37.90668367,52.28450765,0.021087658,40.9213865,10.32687563
group 50,2.5,2.872281323,2.872281323,4.5,0.273402274,21.91650824,34.93447316,0.032655626,40.9213865,10.32687563
group 51,4.34932945,4.645786622,2.62995564,0.5,0.138061441,37.80983117,50.07296433,0.026086039,40.9213865,10.32687563
group 52,2.645751311,3.109126351,2.380476143,4.082482905,0.363058895,19.32830394,31.90919955,0.026397541,40.9213865,10.32687563
group 53,0.957427108,0.957427108,3.829708431,2.5,0.261127756,32.05594069,40.56163109,0.038608025,40.9213865,10.32687563
group 54,4.031128874,0.816496581,3.464101615,2.380476143,0.294968115,28.0876604,39.07483173,0.038018784,40.9213865,10.32687563
group 55,0,3.109126351,3.095695937,3.16227766,0.201677715,28.36664708,37.93542474,0.037049862,40.9213865,10.32687563
group 56,2.986078811,2.872281323,4.242640687,1.5,0.270376385,37.83627008,49.70764728,0.026899935,40.9213865,10.32687563
group 57,2.061552813,1.414213562,2.362907813,2.380476143,0.151163831,35.91192931,44.28224347,0.03663884,40.9213865,10.32687563
group 58,3.696845502,2.217355783,1.732050808,1.707825128,0.33430369,26.31856126,36.00694217,0.034495604,40.9213865,10.32687563
group 59,1.5,0.816496581,2.160246899,3.095695937,0.351382046,21.6236753,29.54749676,0.021063464,40.9213865,10.32687563
group 60,0.957427108,5.259911279,3.593976442,2.886751346,0.345963203,27.95681193,41.00084131,0.038630316,40.9213865,10.32687563
group 61,3.403429643,3.696845502,1.707825128,3.696845502,0.14680512,20.47763007,33.12938097,0.029061208,40.9213865,10.32687563
group 62,3.403429643,4.11298756,2.217355783,2,0.293189148,37.02701716,49.0539793,0.028331528,40.9213865,10.32687563
group 63,3.741657387,3.915780041,2.362907813,3.403429643,0.238990154,44.69433223,58.35709727,0.009288249,40.9213865,10.32687563
group 64,2.081665999,5.773502692,2.5,2.753785274,0.238696355,37.92097045,51.26862077,0.023384972,40.9213865,10.32687563
group 65,1.290994449,2.753785274,2.62995564,2.645751311,0.341826757,40.27406113,49.93637456,0.026391292,40.9213865,10.32687563
group 66,4.760952286,2.380476143,1.732050808,3.785938897,0.263535025,38.34057903,51.26353218,0.023396518,40.9213865,10.32687563
group 67,4.34932945,2.753785274,4.320493799,3.696845502,0.225983689,22.30657601,37.65301372,0.03674431,40.9213865,10.32687563
group 68,1.707825128,1.290994449,3.947573094,1.414213562,0.263232313,33.66996683,42.29380538,0.038291811,40.9213865,10.32687563
group 69,2.380476143,2.645751311,3.5,3.651483717,0.400977228,37.02589184,49.60458024,0.027127978,40.9213865,10.32687563
group 70,2.986078811,3,4.924428901,2.362907813,0.338045827,17.13670525,30.7481666,0.023779776,40.9213865,10.32687563
group 71,2.708012802,2.061552813,2.62995564,3.095695937,0.329927851,26.8747093,37.69985434,0.036796718,40.9213865,10.32687563
group 72,2.5,4.242640687,2.62995564,4.031128874,0.376138814,32.13902094,45.91888495,0.034362718,40.9213865,10.32687563
group 73,3.304037934,2.362907813,3.593976442,5.5,0.241152299,29.08034846,44.08242295,0.036863391,40.9213865,10.32687563
group 74,3.872983346,2.753785274,3.16227766,1.258305739,0.344797262,42.29263135,53.68478063,0.017998594,40.9213865,10.32687563
group 75,3.265986324,1.732050808,1.732050808,2.62995564,0.173132189,37.17862289,46.71179866,0.03301188,40.9213865,10.32687563
