id,c1,c2,c3,c4,c5,c6
222,4,8,5,2,0.727488978,27
223,4,8,10,3,0.031731386,39
224,9,2,1,5,0.90723546,4
225,9,7,1,6,0.761845605,87
226,0,7,2,10,0.06431714,6
227,7,6,8,4,0.073504479,35
228,10,3,1,7,0.921358095,93
229,6,6,2,2,0.589894913,6
230,1,1,1,9,0.046605609,35
231,0,9,7,6,0.69673264,87
232,8,6,0,9,0.036630613,9
233,2,6,4,1,0.266827594,31
234,4,10,8,10,0.987089981,45
235,10,9,10,8,0.279593087,18
236,10,0,7,9,0.708695287,66
237,1,9,3,8,0.415111358,19
238,5,1,5,4,0.128299078,15
239,5,8,10,2,0.182809392,33
240,10,0,1,4,0.688601869,89
241,9,7,8,1,0.453572984,3
242,2,5,7,6,0.811560819,30
243,2,2,4,2,0.943396965,55
244,8,3,3,8,0.317220923,82
245,0,9,7,2,0.441468566,78
246,10,9,9,10,0.021758954,45
247,2,8,1,7,0.852820483,46
248,6,5,8,7,0.949191587,1
249,3,3,3,7,0.880315457,85
250,5,0,9,0,0.642234399,60
251,9,5,4,0,0.919915571,54
252,5,10,5,9,0.830900664,43
253,1,7,1,10,0.091044002,94
254,9,10,3,6,0.948984063,48
255,0,5,7,5,0.065376934,19
256,6,4,3,0,0.951698073,62
257,9,10,3,2,0.837772344,17
258,6,5,2,1,0.760527961,51
259,2,10,6,3,0.879109807,34
260,9,5,1,7,0.606364738,53
261,1,1,2,4,0.903115353,29
262,7,7,9,5,0.279123559,10
263,6,5,2,5,0.962024177,74
264,9,3,0,8,0.563249616,8
265,0,8,10,4,0.757604298,20
266,7,9,8,10,0.265730302,79
267,5,1,4,8,0.496480713,97
268,9,4,3,1,0.511144823,97
269,0,7,8,5,0.751381487,77
270,1,9,2,3,0.420177948,78
271,8,1,9,2,0.477060714,94
272,8,1,3,4,0.483410602,11
273,10,1,2,6,0.628557964,84
274,2,8,3,3,0.905496902,43
275,3,1,0,1,0.088955176,10
276,8,2,10,7,0.706370531,7
277,6,6,1,9,0.226818384,100
278,5,2,5,3,0.596702431,37
279,4,9,3,6,0.638609135,24
280,4,2,2,0,0.200758448,98
281,1,7,10,7,0.211344653,79
282,5,0,1,0,0.406813536,39
283,0,10,1,10,0.347802615,29
284,3,1,2,6,0.341509781,72
285,5,1,8,9,0.258595093,47
286,0,4,6,7,0.154704642,36
287,0,3,8,4,0.569991429,4
288,8,4,5,5,0.407159205,12
289,6,4,6,8,0.590600239,90
290,4,6,5,1,0.147780107,20
291,2,6,7,1,0.448843133,7
292,5,7,1,0,0.440473405,86
293,4,2,2,6,0.351353313,67
294,6,8,0,7,0.023402827,94
295,7,2,0,4,0.579322799,86
296,5,10,3,5,0.381044697,50
297,5,1,10,3,0.169470312,90
298,4,6,7,2,0.470490747,51
299,7,5,8,10,0.181653417,67
300,0,0,0,3,0.555259422,70
301,10,8,8,8,0.667629681,61
302,8,5,3,8,0.492146698,50
303,3,3,0,0,0.816837076,38
304,1,5,5,0,0.710022165,21
305,10,5,10,9,0.178254463,31
306,6,10,1,5,0.355818348,52
307,1,8,10,9,0.904033649,76
308,0,9,10,3,0.686294065,0
309,10,10,9,5,0.396506668,14
310,7,5,7,1,0.206263987,18
311,5,6,7,5,0.983263525,3
312,4,7,7,1,0.101091673,31
313,2,2,5,5,0.529556087,89
314,4,6,9,2,0.129955574,23
315,7,2,4,5,0.619970929,70
316,5,2,1,0,0.057141555,86
317,6,3,0,0,0.605446481,0
318,10,9,7,7,0.009042732,31
319,10,7,0,3,0.870796447,91
320,7,7,3,7,0.732110065,5
321,8,5,7,3,0.900607672,59
322,9,7,3,6,0.061254001,71
323,4,3,10,3,0.189427862,79
324,9,7,5,8,0.073635504,31
325,2,6,6,2,0.503241452,60
326,0,6,4,2,0.672881339,28
327,10,0,5,7,0.860977058,34
328,5,8,10,7,0.747131612,100
329,6,5,5,9,0.748356787,79
330,2,2,8,8,0.593733413,85
331,0,9,9,6,0.656856794,95
332,3,1,5,0,0.069196983,91
333,10,2,0,0,0.694540259,83
334,5,4,6,10,0.827547308,41
335,10,9,1,4,0.491830655,71
336,7,9,5,6,0.887681933,30
337,9,5,7,8,0.458475667,63
338,3,2,6,2,0.661606703,32
339,5,5,8,9,0.448718863,62
340,7,6,1,2,0.585834547,48
341,1,8,3,0,0.946137294,14
342,9,4,0,5,0.311808667,19
343,9,9,4,9,0.498891979,10
344,3,0,7,8,0.037202934,99
345,0,0,4,4,0.690470295,60
346,1,9,6,5,0.197859261,17
347,2,2,6,5,0.928816056,23
348,3,3,8,9,0.171305052,76
349,1,5,4,7,0.797110151,45
350,9,8,5,4,0.863221925,0
351,4,0,2,10,0.631297995,14
352,5,2,5,3,0.673967663,76
353,7,7,7,2,0.479734048,57
354,6,2,8,5,0.302303127,72
355,0,3,6,5,0.206347782,88
356,10,2,1,10,0.283018925,29
357,4,1,8,10,0.134689631,34
358,10,0,2,7,0.098819404,13
359,7,0,3,3,0.699643762,62
360,7,9,9,3,0.203753289,54
361,9,8,6,1,0.837475043,7
362,3,1,4,9,0.508902096,83
363,2,9,9,9,0.982018847,55
364,9,0,2,8,0.341961227,13
365,6,1,9,6,0.265079798,60
366,10,0,9,3,0.412648186,55
367,10,2,9,4,0.902820378,72
368,0,8,3,10,0.015765901,55
369,5,5,3,5,0.1426006,23
370,7,10,3,4,0.840302552,48
371,4,9,1,8,0.309601848,100
372,8,9,9,4,0.336479169,30
373,10,3,5,2,0.267575751,49
374,10,2,4,8,0.25267537,43
375,10,9,4,8,0.867867661,13
376,5,1,4,8,0.985033061,79
377,2,9,2,1,0.215361084,77
378,2,4,4,9,0.001841488,25
379,10,6,7,10,0.270111418,25
380,3,0,7,4,0.896162423,98
381,6,6,9,9,0.974642026,5
382,10,7,5,0,0.982223731,35
383,1,7,5,2,0.593428683,57
384,1,9,4,4,0.334580312,7
385,3,8,1,5,0.13318305,94
386,5,6,1,6,0.265480857,79
387,7,8,1,10,0.126209449,90
388,4,9,5,6,0.012859251,18
389,4,5,2,7,0.045622848,38
390,0,6,4,4,0.793593387,80
391,6,7,7,10,0.570779576,51
392,8,7,5,4,0.453823393,79
393,2,10,5,0,0.266557468,56
394,4,0,8,1,0.24480449,17
395,7,9,3,6,0.230717238,91
396,9,10,10,0,0.670753441,98
397,7,4,9,9,0.453395929,29
398,4,8,4,2,0.89259954,44
399,6,2,9,5,0.165807744,48
400,5,8,10,0,0.354729051,23
401,4,0,1,1,0.284123829,66
402,9,6,3,1,0.991829844,82
403,5,1,9,5,0.702072492,75
404,8,1,8,1,0.766757891,61
405,9,7,10,9,0.716487815,98
406,5,5,9,5,0.271257,7
407,1,1,4,9,0.625366131,41
408,0,3,5,0,0.458768476,2
409,9,3,6,2,0.989389266,97
410,5,4,10,0,0.109014931,45
411,5,10,0,3,0.575699506,98
412,3,9,6,2,0.227136611,0
413,4,4,10,4,0.074354403,4
414,8,10,3,2,0.382018413,8
415,5,10,1,7,0.479462263,23
416,6,1,0,5,0.972687281,44
417,3,6,3,3,0.651803592,30
418,9,1,8,5,0.233713909,17
419,1,0,10,10,0.121063676,70
420,9,0,6,3,0.357020165,28
421,4,2,9,5,0.70659667,5
422,8,7,7,10,0.233797882,4
423,7,9,5,9,0.254172437,73
424,4,0,9,3,0.199428806,65
425,10,2,5,0,0.862005621,87
426,8,9,5,3,0.836886307,12
427,5,1,10,7,0.62490663,57
428,4,7,1,9,0.082446956,29
429,7,6,3,1,0.795773625,86
430,10,4,6,2,0.582423701,76
431,5,7,8,10,0.939655463,80
432,6,6,10,3,0.639079034,9
433,4,4,7,6,0.751012175,94
434,10,3,6,5,0.461503226,50
435,8,3,5,7,0.194815241,25
436,1,3,10,2,0.773264286,45
437,2,0,10,0,0.867490551,47
438,3,7,4,7,0.216601569,20
439,7,4,7,0,0.41928692,84
440,3,5,6,10,0.992446926,98
441,6,2,9,7,0.913444442,98
442,8,6,0,8,0.505599457,14
443,6,10,6,2,0.11619215,97
444,4,4,7,5,0.526259273,61
445,8,2,1,4,0.40202177,24
446,1,2,1,9,0.506465304,40
447,9,9,7,0,0.19215866,19
448,2,2,2,1,0.287739928,43
449,9,1,3,5,0.163575318,19
450,8,0,8,6,0.977902266,34
451,10,10,2,7,0.73416901,7
452,9,10,3,1,0.962536639,63
453,8,2,0,6,0.716383047,11
454,4,7,10,7,0.959943821,42
455,9,0,3,4,0.069965869,68
456,8,6,4,10,0.498660794,12
457,0,7,4,4,0.536588072,86
458,8,1,4,1,0.174556959,23
459,10,1,1,9,0.349043825,77
460,0,1,1,0,0.791048286,25
461,2,3,5,6,0.142045277,36
462,10,0,10,4,0.902572653,86
463,4,5,3,7,0.341932369,5
464,1,2,1,1,0.49151804,65
465,10,8,10,4,0.530637681,90
466,9,4,3,4,0.151240845,60
467,10,0,9,0,0.606204694,38
468,7,0,8,5,0.406834959,32
469,0,10,9,10,0.926754494,46
470,8,0,1,2,0.373425567,18
471,8,6,3,2,0.856523112,73
472,7,0,8,6,0.944633386,15
473,9,9,7,3,0.609122699,47
474,2,1,0,10,0.872133069,17
475,2,4,5,10,0.172682246,42
476,4,4,2,9,0.700482283,76
477,4,5,5,5,0.946959278,55
478,5,3,2,5,0.418235527,94
479,0,2,1,9,0.551615858,43
480,1,4,7,2,0.610494488,54
481,5,8,10,2,0.521475657,57
482,6,8,10,0,0.519788407,75
483,0,1,4,0,0.621378291,1
484,10,9,4,1,0.043159356,67
485,5,9,4,2,0.425469628,15
486,1,3,8,2,0.136925371,51
487,10,6,7,3,0.468522553,100
488,5,8,8,10,0.094751774,26
489,3,4,6,1,0.827016929,1
490,4,2,6,8,0.86491093,78
491,0,2,1,10,0.867457211,59
492,6,7,8,4,0.064688322,12
493,10,2,10,7,0.67937197,78
494,3,3,1,9,0.111478826,66
495,10,7,1,0,0.311434202,76
496,8,5,2,8,0.214680385,2
497,5,1,0,7,0.036353021,33
498,9,6,5,2,0.19405552,40
499,10,10,10,4,0.885690865,22
500,10,7,6,9,0.098615942,99
